Title,Year,Album.debut,Duration,Other.releases,Genre,Songwriter,Lead.vocal,Top.50.Billboard,Top50
Leave My Kitten Alone,1964,Anthology 1,177,0,"Rock and Roll, Pop/Rock","Turner, McDougall",Lennon,-1,No
Lend Me Your Comb,1963,Anthology 1,107,0,Pop/Rock,"Twomey, Wise, Weisman",Lennon and McCartney,-1,No
Let It Be,1969,Let It Be,243,28,"Rock, Gospel, Pop/Rock",McCartney,McCartney,5,Yes
Like Dreamers Do,1962,Anthology 1,156,0,"Rock, Merseybeat, Pop/Rock",McCartney,McCartney,-1,No
Little Child,1963,UK: With the Beatles US: Meet The Beatles!,108,10,"Rock and Roll, Pop/Rock",Lennon and McCartney,Lennon and McCartney,-1,No
Lonesome Tears in My Eyes,1963,Live at the BBC,156,0,Pop/Rock,"J. Burnette, D. Burnette, Burlison, Mortimer",Lennon,-1,No
Long Tall Sally,1964,UK: Rock 'n' Roll Music US: The Beatles Second Album,130,35,"Rock and Roll, Pop/Rock","Blackwell, Johnson, Penniman",McCartney,-1,No
"Long, Long, Long",1968,The Beatles,184,6,"Psychedelic Folk, Pop/Rock",Harrison,Harrison,-1,No
Looking Glass,1962,,150,0,Pop/Rock,McCartney,McCartney,-1,No
Love Me Do,1962,UK: Please Please Me US: The Early Beatles,142,56,"Merseybeat, R&B, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",16,Yes
Love of the Loved,1962,,122,0,Pop/Rock,"McCartney, with Lennon",McCartney,-1,No
Love You To,1966,Revolver,181,8,"Indian Music, Raga Rock",Harrison,Harrison,-1,No
Lovely Rita,1967,Sgt. Pepper's Lonely Hearts Club Band,162,6,"Psychedelic Folk, Music Hall, Pop/Rock",McCartney,McCartney,-1,No
Lucille,1963,Live at the BBC,141,0,"Rock and Roll, Pop/Rock","Penniman, Collins",McCartney,-1,No
Lucy in the Sky with Diamonds,1967,Sgt. Pepper's Lonely Hearts Club Band,208,5,"Psychedelic Rock, Pop/Rock",Lennon with McCartney,Lennon,-1,No
Madman,1969,,197,0,"Rock, Pop/Rock",Lennon,Lennon,-1,No
Maggie Mae,1969,Let It Be,40,7,"Skiffle, Pop/Rock","Traditional, arr. Lennon, McCartney, Harrison, Starkey",Lennon,-1,No
Magical Mystery Tour,1967,Magical Mystery Tour,171,20,"Psychedelic Rock, Pop/Rock","McCartney, with Lennon",McCartney,-1,No
"Mailman, Bring Me No More Blues",1969,Anthology 3,116,0,Pop/Rock,"Row, Katz, Roberts, Clayton",Lennon,-1,No
Martha My Dear,1968,The Beatles,148,6,"Music Hall, Pop/Rock",McCartney,McCartney,-1,No
Matchbox,1964,UK: Rock 'n' Roll Music US: Something New,117,24,"Rock and roll, Rockabilly, Pop/Rock","Perkins, Jefferson",Starkey (Best),40,Yes
Maxwell's Silver Hammer,1969,Abbey Road,207,8,"Rock, Music Hall, Pop/Rock",McCartney,McCartney,-1,No
Mean Mr. Mustard,1969,Abbey Road,66,6,Pop/Rock,Lennon,Lennon,-1,No
"Memphis, Tennessee",1963,Live at the BBC,136,0,"R&B, Rock and Roll, Pop/Rock",Berry,Lennon,-1,No
Michelle,1965,Rubber Soul,160,19,Pop/Rock,"McCartney, with Lennon",McCartney,-1,No
Misery,1963,UK: Please Please Me US: Rarities,107,23,Pop/Rock,"Lennon, with McCartney","Lennon, with McCartney",-1,No
Money (That's What I Want),1963,UK: With the Beatles US: The Beatles Second Album,167,24,Pop/Rock,"Gordy, Bradford",Lennon,-1,No
Moonlight Bay,1963,Anthology 1,150,0,Pop/Rock,"Percy Wenrich, Edward Madden","Lennon, McCartney, Harrison, Eric Morecambe, Ernie Wise",-1,No
Mother Nature's Son,1968,The Beatles,168,10,"Folk, Pop/Rock",McCartney,McCartney,-1,No
Mr. Moonlight,1964,UK: Beatles for Sale US: Beatles '65,155,17,"Folk Rock, Pop/Rock",Johnson,Lennon,-1,No
My Bonnie,1961,Anthology 1,150,13,"Rock and Roll, Pop/Rock","Traditional, arr. Sheridan",Sheridan,45,Yes
No Reply,1964,UK: Beatles for Sale US: Beatles '65,135,15,"Folk Rock, Pop/Rock","Lennon, with McCartney","Lennon, with McCartney",-1,No
Norwegian Wood (This Bird Has Flown),1965,Rubber Soul,125,18,"Folk Rock, Raga Rock, Pop/Rock","Lennon, with McCartney",Lennon,-1,No
Not a Second Time,1963,UK: With the Beatles US: Meet The Beatles!,128,9,"Rock, Pop/Rock",Lennon,Lennon,-1,No
Not Guilty,1968,Anthology 3,215,0,"Jazz-Pop, Pop/Rock",Harrison,Harrison,-1,No
Nothin' Shakin' (But the Leaves on the Trees),1963,Live at the BBC,176,0,Pop/Rock,Fontaine,Harrison,-1,No
Nowhere Man,1965,UK: Rubber Soul US: Yesterday and Today,164,23,"Folk Rock, Pop/Rock",Lennon,Lennon,27,Yes
"Ob-La-Di, Ob-La-Da",1968,The Beatles,187,16,"Ska, Pop/Rock",McCartney,McCartney,-1,No
Octopus's Garden,1969,Abbey Road,168,10,"Rock, Pop/Rock","Starkey, with uncredited assistance from Harrison",Starkey,-1,No
Oh! Darling,1969,Abbey Road,206,9,"Swamp Pop, Hard Rock, Pop/Rock",McCartney,McCartney,-1,No
Old Brown Shoe,1969,UK: 1967-1970 US: Hey Jude,196,13,"Blues Rock, Pop/Rock",Harrison,Harrison,-1,No
One After 909,1969,Let It Be,172,17,"Roots Rock, Pop/Rock",Lennon,"Lennon, with McCartney",-1,No
One and One Is Two,1964,,150,0,,McCartney,McCartney,-1,No
Only a Northern Song,1967,Yellow Submarine,207,9,"Psychedelic Rock, Pop/Rock",Harrison,Harrison,-1,No
Ooh! My Soul,1963,Live at the BBC,97,0,Pop/Rock,Penniman,McCartney,-1,No
P.S. I Love You,1962,UK: Please Please Me US: The Early Beatles,126,30,"Merseybeat, Pop/Rock","McCartney, with Lennon",McCartney,34,Yes
Paperback Writer,1966,UK: A Collection of Beatles Oldies US: Hey Jude,138,27,"Hard Rock, Power Pop, Psychedelic Rock, Pop/Rock",McCartney,McCartney,19,Yes
Penny Lane,1966,Magical Mystery Tour,183,22,"Progressive Pop, Baroque Pop, Psychedelic Pop, Psychedelic Rock, Pop/Rock",McCartney,McCartney,24,Yes
Piggies,1968,The Beatles,124,9,"Baroque Pop, Folk, Pop/Rock",Harrison,Harrison,-1,No
Please Mr. Postman,1963,UK: With the Beatles US: The Beatles Second Album,156,19,"Rock and Roll, Pop/Rock","Dobbins, Garrett, Holland, Bateman, Gorman",Lennon,-1,No
Please Please Me,1962,UK: Please Please Me US: The Early Beatles,120,35,"Merseybeat, Rock and Roll, Pop/Rock",Lennon,"Lennon, with McCartney",18,Yes
Polythene Pam,1969,Abbey Road,72,8,Pop/Rock,Lennon,Lennon,-1,No
Rain,1966,UK: Rarities US: Hey Jude,179,15,"Psychedelic Rock, Pop/Rock",Lennon,Lennon,42,Yes
Real Love,1980,Anthology 2,236,2,"Rock, Pop/Rock","Lennon, with McCartney, Harrison, Starkey",Lennon,47,Yes
Revolution 1,1968,The Beatles,201,7,"Hard rock, Pop/Rock",Lennon,Lennon,-1,No
Revolution 9,1968,The Beatles,502,7,"Avant-Garde, Musique Concrete, Experimental, Sound Collage, Pop/Rock","Lennon, with Ono and Harrison",,-1,No
Revolution,1968,UK: 1967-1970 US: Hey Jude,201,23,"Hard rock, Pop/Rock",Lennon,Lennon,32,Yes
"Rip It Up/Shake, Rattle, and Roll/Blue Suede Shoes",1969,Anthology 3,150,0,"Rock and Roll, Pop/Rock","Blackwell-Marascalco (""Rip It Up""), Calhoun (""Shake, Rattle, and Roll""), Perkins (""Blue Suede Shoes"")",Lennon and McCartney,-1,No
Rock and Roll Music,1964,UK: Beatles for Sale US: Beatles '65,150,25,"Rock and Roll, Pop/Rock",Berry,Lennon,-1,No
Rocky Raccoon,1968,The Beatles,213,9,"Country, Folk Rock, Pop/Rock","McCartney, with Lennon",McCartney,-1,No
Roll Over Beethoven,1963,UK: With the Beatles US: The Beatles Second Album,168,31,"Rock and Roll, Pop/Rock",Berry,Harrison,-1,No
Run for Your Life,1965,Rubber Soul,138,9,"Rock, Rock and Roll, Pop/Rock","Lennon, with McCartney",Lennon,-1,No
Savoy Truffle,1968,The Beatles,174,7,"Soul, Blues Rock, Hard Rock, Pop/Rock",Harrison,Harrison,-1,No
Searchin',1962,Anthology 1,156,0,"Rock and Roll, Pop/Rock","Leiber, Stoller",McCartney,-1,No
September in the Rain,1962,,150,0,Pop/Rock,"Al Dubin, Harry Warren",McCartney,-1,No
Sexy Sadie,1968,The Beatles,195,11,Pop/Rock,Lennon,Lennon,-1,No
Sgt. Pepper's Lonely Hearts Club Band (Reprise),1967,Sgt. Pepper's Lonely Hearts Club Band,80,6,"Psychedelic Rock, Hard Rock, Pop/Rock",McCartney,"McCartney, with Lennon and Harrison",-1,No
Sgt. Pepper's Lonely Hearts Club Band,1967,Sgt. Pepper's Lonely Hearts Club Band,119,14,"Psychedelic Rock, Hard Rock, Pop/Rock",McCartney,"McCartney, with Lennon",-1,No
Shakin' in the Sixties,1969,,150,0,Pop/Rock,Lennon,Lennon,-1,No
She Came in Through the Bathroom Window,1969,Abbey Road,117,6,"Rock, Pop/Rock",McCartney,McCartney,-1,No
She Loves You,1963,UK: A Collection of Beatles Oldies US: The Beatles Second Album,138,45,"Rock and Roll, Pop/Rock",Lennon and McCartney,Lennon and McCartney,3,Yes
She Said She Said,1966,Revolver,157,7,"Psychedelic Rock, Acid Rock[, Pop/Rock",Lennon,Lennon,-1,No
She's a Woman,1964,UK: Rarities US: Beatles '65,183,28,"Rock and Roll, R&B, Pop/Rock",McCartney,McCartney,31,Yes
She's Leaving Home,1967,Sgt. Pepper's Lonely Hearts Club Band,215,7,"Baroque Pop, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",-1,No
Shout,1964,Anthology 1,135,0,"Rock and Roll, Gospel, Pop/Rock","Isley, Isley, Isley","Lennon, McCartney, Harrison and Starkey",-1,No
Sie Liebt Dich,1964,UK: Rarities US: Rarities,139,9,"Rock and Roll, Pop/Rock",Lennon and McCartney/Nicolas/Montague,Lennon-McCartney,-1,No
Slow Down,1964,UK: Rock 'n' Roll Music US: Something New,175,21,"Rock and Roll, Pop/Rock",Williams,Lennon,44,Yes
So How Come (No One Loves Me),1963,Live at the BBC,114,0,Pop/Rock,"Bryant, Bryant",Harrison,-1,No
Soldier of Love (Lay Down Your Arms),1963,Live at the BBC,119,0,"R&B, Pop/Rock","Cason, Moon",Lennon,-1,No
Some Other Guy,1963,Live at the BBC,121,0,"Rock and Roll, Pop/Rock","Leiber, Stoller, Barrett",Lennon and McCartney,-1,No
Something,1969,Abbey Road,179,16,"Rock, Pop/Rock",Harrison,Harrison,30,Yes
Sour Milk Sea,1968,,236,0,"Hard Rock, Psychedelic Rock, Pop/Rock",Harrison,Harrison,-1,No
Step Inside Love/Los Paranoias,1968,Anthology 3,150,0,"Folk Rock, Pop/Rock","McCartney (Step Inside Love); Lennon, McCartney, Harrison and Starkey (Los Paranoias)",McCartney,-1,No
Strawberry Fields Forever,1966,Magical Mystery Tour,245,20,"Psychedelic Rock, Art Pop, Psychedelic Pop, Pop/Rock",Lennon,Lennon,33,Yes
Sun King,1969,Abbey Road,146,6,"Art Pop, Pop/Rock",Lennon,Lennon,-1,No
Sure to Fall (In Love with You),1963,Live at the BBC,141,0,Pop/Rock,"Perkins, Claunch, Cantrell",McCartney,-1,No
Sweet Little Sixteen,1963,Live at the BBC,141,0,"Rock and Roll, Pop/Rock",Berry,Lennon,-1,No
Take Good Care of My Baby,1962,,150,0,"Rock and Roll, Pop/Rock","Goffin, King",Harrison,-1,No
Taking a Trip to Carolina,1969,Let It Be... Naked - Fly on the Wall bonus disc,150,0,Pop/Rock,Starkey,Starkey,-1,No
Taxman,1966,Revolver,159,10,"Rock, Hard Rock, Psychedelic Rock, Pop/Rock","Harrison, with uncredited contribution from Lennon",Harrison,-1,No
Teddy Boy,1969,Anthology 3,145,0,"Folk Rock, Pop/Rock",McCartney,McCartney,-1,No
Tell Me What You See,1965,UK: Help! US: Beatles VI,156,10,"Rock, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",-1,No
Tell Me Why,1964,UK: A Hard Day's Night US: Something New,130,15,"Rock and Roll, Pop/Rock",Lennon,Lennon,-1,No
Thank You Girl,1963,UK: Rarities US: The Beatles Second Album,121,21,"Merseybeat, Pop/Rock",Lennon and McCartney,Lennon and McCartney,46,Yes
That Means a Lot,1965,Anthology 2,146,0,"Rock, Pop/Rock",McCartney,McCartney,-1,No
That'll Be the Day,1958,Anthology 1,136,0,"Rock and Roll, Rockabilly, Pop/Rock","Allison, Holly, Petty",Lennon,-1,No
That's All Right (Mama),1963,Live at the BBC,176,0,"Rockabilly, Pop/Rock",Crudup,McCartney,-1,No
The Ballad of John and Yoko,1969,UK: 1967-1970 US: Hey Jude,179,14,"Rock and Roll, Pop/Rock",Lennon,"Lennon, with McCartney",28,Yes
The Continuing Story of Bungalow Bill,1968,The Beatles,198,8,"Folk Rock, Pop/Rock",Lennon,"Lennon, with Starkey",-1,No
The End,1969,Abbey Road,140,6,"Hard Rock, Art Rock, Heavy Metal, Pop/Rock",McCartney,McCartney,-1,No
The Fool on the Hill,1967,Magical Mystery Tour,180,15,"Baroque Pop, Pop/Rock",McCartney,McCartney,-1,No
The Honeymoon Song,1963,Live at the BBC,150,0,Pop/Rock,"Theodorakis, Sansom",McCartney,-1,No
The Inner Light,1968,UK: Rarities US: Rarities,156,10,"Indian Music, Raga Rock, Pop/Rock",Harrison,Harrison,-1,No
The Long and Winding Road,1969,Let It Be,220,18,Pop/Rock,McCartney,McCartney,20,Yes
The Night Before,1965,Help!,153,13,Electronic Pop/Rock,McCartney,McCartney,-1,No
The Saints,1962,,150,0,Pop/Rock,"Traditional, arr. Sheridan",Sheridan,-1,No
The Sheik of Araby,1962,Anthology 1,150,0,"Jazz, Pop/Rock","Smith, Wheeler-Snyder",Harrison,-1,No
The Word,1965,Rubber Soul,161,6,"Rock, Pop/Rock",Lennon and McCartney,"Lennon, McCartney and Harrison",-1,No
There's a Place,1963,UK: Please Please Me US: Rarities,109,24,"Merseybeat, Rock and Roll, Pop/Rock",Lennon and McCartney,Lennon and McCartney,-1,No
Things We Said Today,1964,UK: A Hard Day's Night US: Something New,158,22,"Rock, Pop/Rock",McCartney,McCartney,-1,No
Think for Yourself,1965,Rubber Soul,138,7,Pop/Rock,Harrison,Harrison,-1,No
This Boy,1963,UK: Rarities US: Meet The Beatles!,133,23,"Doo Wop, Pop/Rock",Lennon,"Lennon, with McCartney and Harrison",-1,No
Three Cool Cats,1962,Anthology 1,128,0,"R&B, Pop/Rock","Leiber, Stoller",Harrison,-1,No
Ticket to Ride,1965,Help!,190,31,"Power Pop, Jangle Pop, Folk Rock, Pop/Rock",Lennon,"Lennon, with McCartney",17,Yes
Till There Was You,1963,UK: With the Beatles US: Meet The Beatles!,136,22,Pop/Rock,Willson,McCartney,-1,No
Tip of My Tongue,1962,,150,0,"Beat, Power Pop, Pop/Rock",Lennon and/or McCartney,McCartney/Lennon,-1,No
To Know Her is to Love Her,1963,Live at the BBC,138,0,Pop/Rock,Spector,Lennon,-1,No
Tomorrow Never Knows,1966,Revolver,178,14,"Psychedelic Rock, Hard Rock, Avant-Pop, Experimental Rock, Pop/Rock",Lennon,Lennon,-1,No
Too Much Monkey Business,1963,Live at the BBC,176,0,"Rock and Roll, R&B, Pop/Rock",Berry,Lennon,-1,No
Twist and Shout,1963,UK: Please Please Me US: The Early Beatles,125,44,"Rock and Roll, R&B, Pop/Rock","Medley, Russell",Lennon,13,Yes
Two of Us,1969,Let It Be,213,11,"Folk Rock, Pop/Rock",McCartney,"McCartney, with Lennon",-1,No
Wait,1965,Rubber Soul,136,8,"Folk Rock, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",-1,No
Watching Rainbows,1969,,248,0,"Rock, Pop/Rock","Lennon, with McCartney",Lennon,-1,No
We Can Work It Out,1965,UK: A Collection of Beatles Oldies US: Yesterday and Today,135,19,"Folk Rock, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",9,Yes
What Goes On,1965,UK: Rubber Soul US: Yesterday and Today,170,9,"Country rock, Country, Pop/Rock","Lennon and McCartney, with Starkey",Starkey,-1,No
What You're Doing,1964,UK: Beatles for Sale US: Beatles VI,150,8,"Jangle pop, Pop/Rock",McCartney,McCartney,-1,No
What's The New Mary Jane,1968,Anthology 3,372,0,"Psychedelic Rock, Musique Concrete, Experimental Music, Outsider Music, Pop/Rock",Lennon,Lennon,-1,No
When I Get Home,1964,UK: A Hard Day's Night US: Something New,138,14,"Rock and Roll, Pop/Rock",Lennon,Lennon,-1,No
When I'm Sixty-Four,1966,Sgt. Pepper's Lonely Hearts Club Band,157,7,"Music Hall, Pop/Rock",McCartney,McCartney,-1,No
While My Guitar Gently Weeps,1968,The Beatles,286,18,"Rock, Psychedelic Rock, Blues Rock, Pop/Rock",Harrison,Harrison,-1,No
Why Don't We Do It in the Road?,1968,The Beatles,102,8,"Rock, Blues, Pop/Rock",McCartney,McCartney,-1,No
Wild Honey Pie,1968,The Beatles,52,7,"Experimental pop, Lo-Fi, Psychedelic Folk, Pop/Rock",McCartney,McCartney,-1,No
Winston's Walk,1960,,150,0,,Lennon,,-1,No
With a Little Help from My Friends,1967,Sgt. Pepper's Lonely Hearts Club Band,164,6,"Pop Rock, Psychedelic Pop, Pop/Rock",Lennon and McCartney,Starkey,-1,No
Within You Without You,1967,Sgt. Pepper's Lonely Hearts Club Band,305,7,"Indian Classical, Raga Rock, Pop/Rock",Harrison,Harrison,-1,No
Woman,1965,,145,0,"Folk Rock, Pop/Rock",McCartney (as Bernard Webb or A. Smith),McCartney,-1,No
Words of Love,1964,UK: Beatles for Sale US: Beatles VI,122,16,Pop/Rock,Holly,Lennon and McCartney,-1,No
Yellow Submarine,1966,Revolver,158,24,"Children's Music, Folk, Pop/Rock",McCartney,Starkey,25,Yes
Yer Blues,1968,The Beatles,241,11,"Blues Rock, Hard Rock, Pop/Rock",Lennon,Lennon,-1,No
Yes It Is,1965,UK: Rarities US: Beatles VI,161,16,Pop/Rock,Lennon,"Lennon, McCartney and Harrison",-1,No
Yesterday,1965,UK: Help! US: Yesterday and Today,123,33,"Baroque Pop, Pop/Rock",McCartney,McCartney,12,Yes
You Can't Do That,1964,UK: A Hard Day's Night US: The Beatles Second Album,157,25,"Rock and Roll, R&B, Pop/Rock",Lennon,Lennon,-1,No
You Know My Name (Look Up the Number),1967,UK: Rarities US: Rarities,261,4,"Comedy Rock, Jazz, Experimental Rock, Avant-Garde, Novelty, Pop/Rock","Lennon, with McCartney",Lennon and McCartney,-1,No
You Know What to Do,1964,Anthology 1,119,0,Pop/Rock,Harrison,Harrison,-1,No
You Like Me Too Much,1965,UK: Help! US: Beatles VI,155,12,Pop/Rock,Harrison,Harrison,-1,No
You Never Give Me Your Money,1969,Abbey Road,242,7,"Rock, Pop/Rock",McCartney,McCartney,-1,No
You Won't See Me,1965,Rubber Soul,202,11,Pop/Rock,McCartney,McCartney,-1,No
You'll Be Mine,1960,Anthology 1,98,0,"R&B, Experimental, Pop/Rock",Lennon and McCartney,McCartney,-1,No
You're Going to Lose That Girl,1965,Help!,140,6,"Rock, Pop/Rock",Lennon,Lennon,-1,No
You've Got to Hide Your Love Away,1965,Help!,131,12,FolkPop/Rock,Lennon,Lennon,-1,No
You've Really Got a Hold on Me,1963,UK: With the Beatles US: The Beatles Second Album,182,2,"Soul, Pop/Rock",Robinson,Lennon and Harrison,-1,No
Young Blood,1963,Live at the BBC,116,0,Pop/Rock,"Leiber, Stoller",Harrison,-1,No
Your Mother Should Know,1967,Magical Mystery Tour,149,13,"Music Hall, Vaudeville Rock, Psychedelic Pop, Pop/Rock",McCartney,McCartney,-1,No
